gene_id,inf,up_in_one,up_in_all,up_h_only,up_c_only,up_s_only,up_atl1_hc,T1,ht,ct,st,E,S,A,LP2_H_FC,LP2_H_PV,LP2_H_Neg_fpkm,LP2_H_Pos_fpkm,LP2_H_Neg_SEM,LP2_H_Pos_SEM,LP2_C_FC,LP2_C_PV,LP2_C_Neg_fpkm,LP2_C_Pos_fpkm,LP2_C_Neg_SEM,LP2_C_Pos_SEM,LP2_S_FC,LP2_S_PV,LP2_S_Neg_fpkm,LP2_S_Pos_fpkm,LP2_S_Neg_SEM,LP2_S_Pos_SEM,LP7_H_FC,LP7_H_PV,LP7_H_Neg_fpkm,LP7_H_Pos_fpkm,LP7_H_Neg_SEM,LP7_H_Pos_SEM,LP7_C_FC,LP7_C_PV,LP7_C_Neg_fpkm,LP7_C_Pos_fpkm,LP7_C_Neg_SEM,LP7_C_Pos_SEM,LP7_S_FC,LP7_S_PV,LP7_S_Neg_fpkm,LP7_S_Pos_fpkm,LP7_S_Neg_SEM,LP7_S_Pos_SEM,LP15_H_FC,LP15_H_PV,LP15_H_Neg_fpkm,LP15_H_Pos_fpkm,LP15_H_Neg_SEM,LP15_H_Pos_SEM,LP15_C_FC,LP15_C_PV,LP15_C_Neg_fpkm,LP15_C_Pos_fpkm,LP15_C_Neg_SEM,LP15_C_Pos_SEM,LP15_S_FC,LP15_S_PV,LP15_S_Neg_fpkm,LP15_S_Pos_fpkm,LP15_S_Neg_SEM,LP15_S_Pos_SEM,LP2_LP7_H_FC,LP2_LP7_H_PV,LP2_H_Pos_fpkm,LP7_H_Pos_fpkm,LP2_H_Pos_SEM,LP7_H_Pos_SEM,LP2_LP7_C_FC,LP2_LP7_C_PV,LP2_C_Pos_fpkm,LP7_C_Pos_fpkm,LP2_C_Pos_SEM,LP7_C_Pos_SEM,LP2_LP7_S_FC,LP2_LP7_S_PV,LP2_S_Pos_fpkm,LP7_S_Pos_fpkm,LP2_S_Pos_SEM,LP7_S_Pos_SEM,LP7_LP15_H_FC,LP7_LP15_H_PV,LP15_H_Pos_fpkm,LP7_H_Pos_fpkm,LP15_H_Pos_SEM,LP7_H_Pos_SEM,LP7_LP15_C_FC,LP7_LP15_C_PV,LP15_C_Pos_fpkm,LP7_C_Pos_fpkm,LP15_C_Pos_SEM,LP7_C_Pos_SEM,LP7_LP15_S_FC,LP7_LP15_S_PV,LP15_S_Pos_fpkm,LP7_S_Pos_fpkm,LP15_S_Pos_SEM,LP7_S_Pos_SEM
Fli1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,3.96034,0.172269,0.96010269817,0.147682227846,,,0.227214,0.998858,0.0614401031041,0.900856989091,-3.35668,0.0004,3.16536,0.309002,1.26907754721,0.200193999995,-3.71182,5e-05,5.34339,0.407801,0.207608168219,0.171730084255,,,1.36822,0.462077,0.587594919595,0.399766124446,-3.53808,0.00025,3.5239,0.303357,0.31971701656,0.250621485724,-3.82574,0.0002,4.16881,0.294001,0.718399013579,0.13440599789,-2.61553,5e-05,4.62948,0.755406,0.860826651675,0.293902353965,-2.74647,5e-05,5.34755,0.796866,0.971179694364,0.332416416493,,,0.172269,0.407801,0.147682227846,0.171730084255,,,0.998858,0.462077,0.900856989091,0.399766124446,,,0.309002,0.303357,0.200193999995,0.250621485724,,,0.294001,0.407801,0.13440599789,0.171730084255,,,0.755406,0.462077,0.293902353965,0.399766124446,,,0.796866,0.303357,0.332416416493,0.250621485724
Egr2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,2.02969,0.0507241,0.629152606469,0.0264240964471,,,0.971675,0.289789,0.164366485365,0.169926577229,,,3.98633,0.59738,1.0962343456,0.274206204513,,,0.910393,0.47777,0.140210835988,0.354546602626,,,0.367047,1.24251,0.14156750713,0.588165190013,,,3.53763,0.846703,0.88770698141,0.367043230491,,,2.62966,0.414165,0.650669206288,0.106555704869,-3.33929,5e-05,8.73778,0.863328,3.238605,0.0302438286157,-1.38601,0.00035,7.22439,2.76421,1.02716740798,1.07739654268,,,0.0507241,0.47777,0.0264240964471,0.354546602626,,,0.289789,1.24251,0.169926577229,0.588165190013,,,0.59738,0.846703,0.274206204513,0.367043230491,,,0.414165,0.47777,0.106555704869,0.354546602626,,,0.863328,1.24251,0.0302438286157,0.588165190013,,,2.76421,0.846703,1.07739654268,0.367043230491
